city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90004,999000,2018.0,4.0,2.0
Los Angeles,CA,90004,895000,1810.0,3.0,3.0
Los Angeles,CA,90004,437000,800.0,1.0,1.0
Los Angeles,CA,90004,2100000,7638.0,8.0,14.0
Los Angeles,CA,90004,1499000,NA,3.0,3.0
Los Angeles,CA,90004,2000000,1616.0,3.0,3.0
Los Angeles,CA,90004,3250000,3200.0,5.0,4.0
Los Angeles,CA,90004,1250000,400.0,5.0,2.0
Los Angeles,CA,90004,4295000,5070.0,5.0,6.0
Los Angeles,CA,90004,1380000,2684.0,4.0,2.0
Los Angeles,CA,90004,2050000,6709.0,13.0,13.0
Los Angeles,CA,90004,2020000,4888.0,8.0,4.0
Los Angeles,CA,90004,899000,2648.0,7.0,4.0
Los Angeles,CA,90004,1040000,3612.0,4.0,4.0
Los Angeles,CA,90004,678000,754.0,2.0,1.0
Los Angeles,CA,90004,880000,1203.0,3.0,2.0
Los Angeles,CA,90004,2125000,7836.0,12.0,12.0
LOS ANGELES,CA,90004,549000,1300.0,2.0,3.0
Los Angeles,CA,90004,690000,1656.0,0,NA
Los Angeles,CA,90004,1150000,3468.0,0,NA
Los Angeles,CA,90004,1885000,2422.0,4.0,3.0
Los Angeles,CA,90004,999900,3716.0,7.0,5.0
Los Angeles,CA,90004,3000000,9110.0,15.0,10.0
Los Angeles,CA,90004,1800000,3385.0,4.0,5.0
Los Angeles,CA,90004,2825000,9158.0,14.0,14.0
Los Angeles,CA,90004,2050000,3087.0,5.0,3.0
Los Angeles,CA,90004,619000,1117.0,2.0,2.0
Los Angeles,CA,90004,989000,1718.0,2.0,2.0
Los Angeles,CA,90004,1150000,1890.0,4.0,2.0
Los Angeles,CA,90004,3399000,3584.0,5.0,3.0
Los Angeles,CA,90004,1985000,2637.0,4.0,3.0
Los Angeles,CA,90004,749000,1900.0,2.0,2.0
Los Angeles,CA,90004,1840000,7248.0,NA,NA
Los Angeles,CA,90004,1350000,1200.0,2.0,1.0
Los Angeles,CA,90004,8000000,NA,5.0,7.0
Los Angeles,CA,90004,1800000,3385.0,4.0,5.0
Los Angeles,CA,90004,675000,1320.0,2.0,2.0
Los Angeles,CA,90004,2990000,4400.0,4.0,5.0
